class,precision,recall,f1-score,support
hate,0.3891530868894384,0.9998913869881612,0.5602568198761544,18414.0
normal,0.9948481859037597,0.23942175794027645,0.38595819778444007,37908.0
offensive,0.996032956972841,0.9625479209672663,0.979004199160168,3391.0
macro avg,0.7933447432553464,0.7339536886319014,0.6417397389402542,59713.0
weighted avg,0.8081342041149622,0.5149967343794484,0.4733856225974945,59713.0
